variable,en,nl
PAIS2_2,Netflix,Netflix
PAIS2_3,Whatsapp,Whatsapp
PAIS2_4,Facebook,Facebook
PAIS2_5,Bol.com,Bol.com
PAIS2_6,DigID,DigID
PAIS2_7,NOS News,NOS Nieuws
PAIS2_8,Albert Heijn,Albert Heijn
PAIS2_9,TikTok,TikTok
page_name_skills,Skills,Vaardigheden
page_name_performance,Performance,Prestatie
page_name_knowledge,Knowledge,Kennis
page_name_highlights,Highlights,Hoogtepunten
page_name_about,About,Over
page_name_strategic_info,Strategic Information,Strategische Informatie
page_name_critical_info,Critical Information,Kritische Informatie
page_name_netiquette,Netiquette,Netiquette
page_name_content_creation,Digital Content Creation,Digitale Inhoudscreatie
page_name_safety,Safety,Veiligheid
page_name_digital_health,Digital Health,Digitale Gezondheid
page_name_green,Green Digital,Groene Digitaal
page_name_problem_solving,Digital Problem Solving,Digitaal Probleemoplossen
page_name_transactional,Transactional,Transactioneel
page_name_ai,AI,AI
page_name_genai,Gen AI,Gen AI
menu_dimensions,Dimensions,Dimensies
dashboard_author,Fabio Votta,Fabio Votta
dashboard_description,Digital Competence Dashboard,Digitaal Competentie Dashboard
dashboard_footer,© 2025 Digital Competence Research,© 2025 Digitaal Competentie Onderzoek
dashboard_navbar_brand,DigIQ Dashboard,DigIQ Dashboard
digital_health_description,**Digital Health & Wellbeing** skills relate to managing healthy digital habits.,**Digitale Gezondheid & Welzijn** vaardigheden hebben betrekking op het beheren van gezonde digitale gewoonten.
dimension_digital_health,Digital Health,Digitale Gezondheid
highlights_intro,Here are the key findings from Wave 1 of the Digital Competence study.,Hier zijn de belangrijkste bevindingen van Golf 1 van het Digitaal Competentie onderzoek.
highlights_wave1_title,Wave 1 Key Findings,Golf 1 Belangrijkste Bevindingen
link_see_all_digital_health,See all Digital Health results,Bekijk alle Digitale Gezondheid resultaten
page_text_knowledge,Explore knowledge dimensions,Verken kennisdimensies
page_text_performance,Explore performance dimensions,Verken prestatiedimensies
page_text_skills,Explore skills dimensions,Verken vaardigheidsdimensies
blockquote_performance_ai,Performance questions for AI dimension,Prestatievragen voor AI-dimensie
blockquote_performance_ai_wo_link,Performance questions for AI dimension,Prestatievragen voor AI-dimensie
blockquote_performance_cis,Performance questions for Critical Information dimension,Prestatievragen voor Kritische Informatie dimensie
blockquote_performance_dccs,Performance questions for Digital Content Creation dimension,Prestatievragen voor Digitale Inhoudscreatie dimensie
blockquote_performance_safety,Performance questions for Safety dimension,Prestatievragen voor Veiligheidsdimensie
tab_knowledge,Knowledge,Kennis
tab_performance,Performance,Prestatie
tab_skills,Skills,Vaardigheden
tab_ai_knowledge,AI Knowledge,AI Kennis
tab_ai_performance,AI Performance,AI Prestatie
tab_ai_skills,AI Skills,AI Vaardigheden
tab_content_creation_knowledge,Content Creation Knowledge,Inhoudscreatie Kennis
tab_content_creation_performance,Content Creation Performance,Inhoudscreatie Prestatie
tab_content_creation_skills,Content Creation Skills,Inhoudscreatie Vaardigheden
tab_critical_info_knowledge,Critical Info Knowledge,Kritische Info Kennis
tab_critical_info_performance,Critical Info Performance,Kritische Info Prestatie
tab_critical_info_skills,Critical Info Skills,Kritische Info Vaardigheden
tab_digital_health_knowledge,Digital Health Knowledge,Digitale Gezondheid Kennis
tab_digital_health_performance,Digital Health Performance,Digitale Gezondheid Prestatie
tab_digital_health_skills,Digital Health Skills,Digitale Gezondheid Vaardigheden
tab_genai_knowledge,Gen AI Knowledge,Gen AI Kennis
tab_genai_performance,Gen AI Performance,Gen AI Prestatie
tab_genai_skills,Gen AI Skills,Gen AI Vaardigheden
tab_green_knowledge,Green Knowledge,Groene Kennis
tab_green_performance,Green Performance,Groene Prestatie
tab_green_skills,Green Skills,Groene Vaardigheden
tab_netiquette_knowledge,Netiquette Knowledge,Netiquette Kennis
tab_netiquette_skills,Netiquette Skills,Netiquette Vaardigheden
tab_problem_solving_performance,Problem Solving Performance,Probleemoplossen Prestatie
tab_problem_solving_skills,Problem Solving Skills,Probleemoplossen Vaardigheden
tab_safety_knowledge,Safety Knowledge,Veiligheid Kennis
tab_safety_performance,Safety Performance,Veiligheid Prestatie
tab_safety_skills,Safety Skills,Veiligheid Vaardigheden
tab_transactional_knowledge,Transactional Knowledge,Transactionele Kennis
tab_transactional_performance,Transactional Performance,Transactionele Prestatie
tab_transactional_skills,Transactional Skills,Transactionele Vaardigheden
label_percentage_respondents,Percentage of Respondents,Percentage van respondenten
label_number_respondents,Number of Respondents,Aantal respondenten
label_agegroup,Age Group,Leeftijdsgroep
label_female,Female,Vrouw
label_male,Male,Man
label_high_education,High,Hoog
label_middle_education,Middle,Midden
label_low_education,Low,Laag
label_yes,Yes,Ja
label_no,No,Nee
label_percentage_correct,Percentage who selected/answered correctly,Percentage die correct heeft geantwoord
title_strategic_information_skills,Strategic Information Skills,Strategische Informatievaardigheden
title_critical_information_skills,Critical Information Skills,Kritische Informatievaardigheden
title_netiquette_skills,Netiquette Skills,Netiquette Vaardigheden
title_digital_content_creation_skills,Digital Content Creation Skills,Digitale Contentcreatievaardigheden
title_safety_control_skills,Safety and Control of Information and Devices Skills,Veiligheid en Controle van Informatie en Apparaten Vaardigheden
title_digital_health_wellbeing_skills,Digital Health and Wellbeing Skills,Digitale Gezondheid en Welzijn Vaardigheden
title_sustainable_green_digital_skills,Sustainable/Green Digital Skills,Duurzame/Groene Digitale Vaardigheden
title_digital_problem_solving_skills,Digital Problem Solving Skills,Digitale Probleemoplossingsvaardigheden
title_transactional_skills,Transactional Skills,Transactionele Vaardigheden
title_ai_skills,AI Skills,AI Vaardigheden

